Artist_names,Artist_url,Artist_id,Track_names,Track_url,Track_id,Popularity
蛋堡 x 黃玠,https://open.spotify.com/artist/4XZNROthOZV5k7sPAG3UTX,4XZNROthOZV5k7sPAG3UTX,放個假,https://open.spotify.com/track/13WuxHOJdApCaWfACurQ0,13WuxHOJdApCaWfACurQ0f,35
Robert Schumann,https://open.spotify.com/artist/2UqjDAXnDxejEyE0CzfUrZ,2UqjDAXnDxejEyE0CzfUrZ,Davidsbündlertänze opus 6: Davidsbündlertänze opus 6: XIV. Zart und lustig,https://open.spotify.com/track/6O6AcbMPN8UaUmvJVfQ73A,6O6AcbMPN8UaUmvJVfQ73A,2
Jay Chou,https://open.spotify.com/artist/2elBjNSdBE2Y3f0j1mjrql,2elBjNSdBE2Y3f0j1mjrql,我落淚˙情緒零碎,https://open.spotify.com/track/29WAoBFCndvO78qMdDwNUl,29WAoBFCndvO78qMdDwNUl,49
Rich Brian,https://open.spotify.com/artist/2IDLDx25HU1nQMKde4n61a,2IDLDx25HU1nQMKde4n61a,Sydney,https://open.spotify.com/track/3OzZSSRbdIr1Jojw1rHUB1,3OzZSSRbdIr1Jojw1rHUB1,47
88rising,https://open.spotify.com/artist/1AhjOkOLkbHUfcHDSErXQ,1AhjOkOLkbHUfcHDSErXQs,California (feat. Warren Hue),https://open.spotify.com/track/3Qj2f7BrpJNGj3dbxKpOl,3Qj2f7BrpJNGj3dbxKpOlp,64
Robert Schumann,https://open.spotify.com/artist/2UqjDAXnDxejEyE0CzfUrZ,2UqjDAXnDxejEyE0CzfUrZ,Davidsbündlertänze opus 6: Davidsbündlertänze opus 6: IV. Ungeduldig,https://open.spotify.com/track/7ymB55gMQ7TQ4nzt5DUDAS,7ymB55gMQ7TQ4nzt5DUDAS,2
Robert Schumann,https://open.spotify.com/artist/2UqjDAXnDxejEyE0CzfUrZ,2UqjDAXnDxejEyE0CzfUrZ,"Schumann: Davidsbündlertänze, Op. 6, Heft II: No. 17, Wie aus der Ferne",https://open.spotify.com/track/7azbxrt9Wi0ra1qFfcCUOR,7azbxrt9Wi0ra1qFfcCUOR,32
Robert Schumann,https://open.spotify.com/artist/2UqjDAXnDxejEyE0CzfUrZ,2UqjDAXnDxejEyE0CzfUrZ,"Schumann: Davidsbündlertänze, Op. 6, Heft II: No. 14, Zart und singend",https://open.spotify.com/track/3rzwGepRS2pjTwvhBvMmiz,3rzwGepRS2pjTwvhBvMmiz,44
Joji,https://open.spotify.com/artist/3MZsBdqDrRTJihTHQrO6Dq,3MZsBdqDrRTJihTHQrO6Dq,Demons,https://open.spotify.com/track/77UXyXy6qie0sOtLdEIH4A,77UXyXy6qie0sOtLdEIH4A,69
J.Sheon,https://open.spotify.com/artist/4DEItwf281SHmTnS8q3Mn9,4DEItwf281SHmTnS8q3Mn9,別問很可怕,https://open.spotify.com/track/3t7GX7UAoxFcvkWCDqEvLW,3t7GX7UAoxFcvkWCDqEvLW,53
J.Sheon,https://open.spotify.com/artist/4DEItwf281SHmTnS8q3Mn9,4DEItwf281SHmTnS8q3Mn9,輸情歌,https://open.spotify.com/track/2Ub5ZGPsej0A6YpvzhntLL,2Ub5ZGPsej0A6YpvzhntLL,49
Ryan.B,https://open.spotify.com/artist/78EWtfjj7daNa4FrTSPQsD,78EWtfjj7daNa4FrTSPQsD,小鹿乱撞,https://open.spotify.com/track/4Mdw361yPWmE5VY39WaIpN,4Mdw361yPWmE5VY39WaIpN,41
Kanye West,https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x,5K4W6rqBFWDnAN6FQUkS6x,Gold Digger,https://open.spotify.com/track/3QHPHLAkYV5cQBUYs6rowx,3QHPHLAkYV5cQBUYs6rowx,65
J. Cole,https://open.spotify.com/artist/6l3HvQ5sa6mXTsMTB19rO5,6l3HvQ5sa6mXTsMTB19rO5,KOD,https://open.spotify.com/track/7yotKA30dwTKNEGomV9ZsI,7yotKA30dwTKNEGomV9ZsI,68
J. Cole,https://open.spotify.com/artist/6l3HvQ5sa6mXTsMTB19rO5,6l3HvQ5sa6mXTsMTB19rO5,p r i d e . i s . t h e . d e v i l (with Lil Baby),https://open.spotify.com/track/5W8jRrZ6tWrTrqnKRtIQB,5W8jRrZ6tWrTrqnKRtIQBf,78
J. Cole,https://open.spotify.com/artist/6l3HvQ5sa6mXTsMTB19rO5,6l3HvQ5sa6mXTsMTB19rO5,1 0 0 . m i l ‘ (with Bas),https://open.spotify.com/track/4n6NDfYake476trCjJRNl0,4n6NDfYake476trCjJRNl0,63
J. Cole,https://open.spotify.com/artist/6l3HvQ5sa6mXTsMTB19rO5,6l3HvQ5sa6mXTsMTB19rO5,a m a r i,https://open.spotify.com/track/2cnKST6T9qUo2i907lm8zX,2cnKST6T9qUo2i907lm8zX,74
Christoph Willibald Gluck,https://open.spotify.com/artist/7vfydQ0nVBVgJ0ajs8EtRM,7vfydQ0nVBVgJ0ajs8EtRM,"Melodie from ""Orfeo ed Euridice"", Wq. 30 (Arr. Giovanni Sgambati)",https://open.spotify.com/track/71S0ksOIsXEqvUNNTb1RJd,71S0ksOIsXEqvUNNTb1RJd,32
Clara Schumann,https://open.spotify.com/artist/2yzaWNFV3cxmcRZtwtr5WC,2yzaWNFV3cxmcRZtwtr5WC,"Schumann: 12 Gedichte aus Liebesfrühling, Op. 37: No. 11: Warum willst du andre fragen",https://open.spotify.com/track/1NechTDnTtSaciAT6gmvJQ,1NechTDnTtSaciAT6gmvJQ,58
BIBI,https://open.spotify.com/artist/6UbmqUEgjLA6jAcXwbM1Z9,6UbmqUEgjLA6jAcXwbM1Z9,BINU,https://open.spotify.com/track/0lSJQip2wVidbu1JfZ4IEQ,0lSJQip2wVidbu1JfZ4IEQ,54
