artist_name,artist_id,track_name,track_id,track_popularity,track_url
Sergei Rachmaninoff,0Kekt6CKSo0m5mivKcoH51,"Rhapsody On a Theme of Paganini, Op. 43: V. Variation XVIII",7EcjtjNYDhQ82yCQZU0Z9C,47,https://api.spotify.com/v1/tracks/7EcjtjNYDhQ82yCQZU0Z9C
Sergei Rachmaninoff,0Kekt6CKSo0m5mivKcoH51,"Preghiera (Arr. by Fritz Kreisler from Piano Concerto No. 2 in C Minor, Op. 18, 2nd Movement)",2buQqAGeQDkkUySsKyoDQJ,46,https://api.spotify.com/v1/tracks/2buQqAGeQDkkUySsKyoDQJ
Cuco,2Tglaf8nvDzwSQnpSrjLHP,Lover Is a Day,76tGvMdmFKuiMew33ZNNA9,74,https://api.spotify.com/v1/tracks/76tGvMdmFKuiMew33ZNNA9
Cuco,2Tglaf8nvDzwSQnpSrjLHP,Lo Que Siento,3oyf4dalm17kzTE8LJDbgR,74,https://api.spotify.com/v1/tracks/3oyf4dalm17kzTE8LJDbgR
Cuco,2Tglaf8nvDzwSQnpSrjLHP,Piel Canela,7qBT9qcbtkLqrfm9LiTNB4,73,https://api.spotify.com/v1/tracks/7qBT9qcbtkLqrfm9LiTNB4
Cuco,2Tglaf8nvDzwSQnpSrjLHP,Bossa No Sé (feat. Jean Carter),3kEsMLO3qUUwiXeCndsMIb,68,https://api.spotify.com/v1/tracks/3kEsMLO3qUUwiXeCndsMIb
Cuco,2Tglaf8nvDzwSQnpSrjLHP,Amor de Siempre,6VZg3YsN5kKBwz39fPcIM1,68,https://api.spotify.com/v1/tracks/6VZg3YsN5kKBwz39fPcIM1
Cuco,2Tglaf8nvDzwSQnpSrjLHP,Dontmakemefallinlove,6zHyWsqTzT6Fympdy9KQDQ,66,https://api.spotify.com/v1/tracks/6zHyWsqTzT6Fympdy9KQDQ
Cuco,2Tglaf8nvDzwSQnpSrjLHP,Sitting In The Corner (feat. Adriel Favela & Kacey Musgraves),1Cx5pTBRWI67JXVmMGJT23,64,https://api.spotify.com/v1/tracks/1Cx5pTBRWI67JXVmMGJT23
Cuco,2Tglaf8nvDzwSQnpSrjLHP,Do Better,3hMvsYZjU1pFH0xoywKXA9,64,https://api.spotify.com/v1/tracks/3hMvsYZjU1pFH0xoywKXA9
Cuco,2Tglaf8nvDzwSQnpSrjLHP,Summer Time High Time,7t5MUcFIIayP1M6TNhtWE0,61,https://api.spotify.com/v1/tracks/7t5MUcFIIayP1M6TNhtWE0
Duke & Jones,3jNm5wvIx1eR5NDdXhMkNV,Jiggle Jiggle,1I4lCSP69P74nU3a6Su5L2,80,https://api.spotify.com/v1/tracks/1I4lCSP69P74nU3a6Su5L2
Jason Derulo,07YZf4WDAMNwqr4jfgOZ8y,Jiggle Jiggle (Jason Derulo x Duke & Jones x Louis Theroux x Amelia Dimz),332xSCN5xTnJYnuyobZmy7,61,https://api.spotify.com/v1/tracks/332xSCN5xTnJYnuyobZmy7
Duke & Jones,3jNm5wvIx1eR5NDdXhMkNV,Trenches,6s4T0UEJs5kX6EsEjvfXpw,51,https://api.spotify.com/v1/tracks/6s4T0UEJs5kX6EsEjvfXpw
Duke & Jones,3jNm5wvIx1eR5NDdXhMkNV,This Could Be - Chill Mix,1fMh032FtBwJDk1iGurH9Y,47,https://api.spotify.com/v1/tracks/1fMh032FtBwJDk1iGurH9Y
Duke & Jones,3jNm5wvIx1eR5NDdXhMkNV,Jiggle Jiggle - Kideko Remix,0XGR13jGzZ68T6R0PVmQFH,47,https://api.spotify.com/v1/tracks/0XGR13jGzZ68T6R0PVmQFH
Duke & Jones,3jNm5wvIx1eR5NDdXhMkNV,Above The Tide,6LKpiaIF8jCAGj8W96WNQr,47,https://api.spotify.com/v1/tracks/6LKpiaIF8jCAGj8W96WNQr
Duke & Jones,3jNm5wvIx1eR5NDdXhMkNV,Active,7jcP7f7Gol3IS01nfj7zbG,46,https://api.spotify.com/v1/tracks/7jcP7f7Gol3IS01nfj7zbG
Duke & Jones,3jNm5wvIx1eR5NDdXhMkNV,Vertigo,6CGfrHc7vZErPVKO12Coj6,44,https://api.spotify.com/v1/tracks/6CGfrHc7vZErPVKO12Coj6
Childish Gambino,73sIBHcqh3Z3NyqHKZ7FOL,Me and Your Mama,31tf1qEai5o5f4r66Kd0pU,84,https://api.spotify.com/v1/tracks/31tf1qEai5o5f4r66Kd0pU
Childish Gambino,73sIBHcqh3Z3NyqHKZ7FOL,Redbone,0wXuerDYiBnERgIpbb3JBR,83,https://api.spotify.com/v1/tracks/0wXuerDYiBnERgIpbb3JBR
Childish Gambino,73sIBHcqh3Z3NyqHKZ7FOL,3005,2ZltjIqztEpZtafc8w0I9t,78,https://api.spotify.com/v1/tracks/2ZltjIqztEpZtafc8w0I9t
Childish Gambino,73sIBHcqh3Z3NyqHKZ7FOL,Les,0mCVNGC4Vvb6gDDQrDpaRh,76,https://api.spotify.com/v1/tracks/0mCVNGC4Vvb6gDDQrDpaRh
Childish Gambino,73sIBHcqh3Z3NyqHKZ7FOL,Feels Like Summer,7p4vHnYXkxlzvfePJVpcTr,72,https://api.spotify.com/v1/tracks/7p4vHnYXkxlzvfePJVpcTr
Childish Gambino,73sIBHcqh3Z3NyqHKZ7FOL,Heartbeat,3WWAvWDBQANpJeNbvVbjMg,71,https://api.spotify.com/v1/tracks/3WWAvWDBQANpJeNbvVbjMg
