toptrack_key,track_url,track_name,artist_key
7795WJLVKJoAyVoOtCWqXN,https://api.spotify.com/v1/tracks/7795WJLVKJoAyVoOtCWqXN,I'm Not The Only One,2wY79sveU1sp5g7SokKOiI
5Nm9ERjJZ5oyfXZTECKmRt,https://api.spotify.com/v1/tracks/5Nm9ERjJZ5oyfXZTECKmRt,Stay With Me,2wY79sveU1sp5g7SokKOiI
1mXVgsBdtIVeCLJnSnmtdV,https://api.spotify.com/v1/tracks/1mXVgsBdtIVeCLJnSnmtdV,Too Good At Goodbyes,2wY79sveU1sp5g7SokKOiI
2TeLIzFBe3hxkPR5FIQZut,https://api.spotify.com/v1/tracks/2TeLIzFBe3hxkPR5FIQZut,Like I Can,2wY79sveU1sp5g7SokKOiI
16MQETUgqXwY4lZcyRafU3,https://api.spotify.com/v1/tracks/16MQETUgqXwY4lZcyRafU3,Love Me More,2wY79sveU1sp5g7SokKOiI
7t3Xdbufg7q2onVsR8RBdY,https://api.spotify.com/v1/tracks/7t3Xdbufg7q2onVsR8RBdY,Fire On Fire,2wY79sveU1sp5g7SokKOiI
3xgT3xIlFGqZjYW9QlhJWp,https://api.spotify.com/v1/tracks/3xgT3xIlFGqZjYW9QlhJWp,Dancing With A Stranger (with Normani),2wY79sveU1sp5g7SokKOiI
34pRqzRiFcIuyRMuuEayzY,https://api.spotify.com/v1/tracks/34pRqzRiFcIuyRMuuEayzY,How Do You Sleep?,2wY79sveU1sp5g7SokKOiI
0hquQWY3xvYqN4qtiquniF,https://api.spotify.com/v1/tracks/0hquQWY3xvYqN4qtiquniF,Vegas (From the Original Motion Picture Soundtrack ELVIS),5cj0lLjcoR7YOSnhnX0Po5
6Uj1ctrBOjOas8xZXGqKk4,https://api.spotify.com/v1/tracks/6Uj1ctrBOjOas8xZXGqKk4,Woman,5cj0lLjcoR7YOSnhnX0Po5
3Vi5XqYrmQgOYBajMWSvCi,https://api.spotify.com/v1/tracks/3Vi5XqYrmQgOYBajMWSvCi,Need to Know,5cj0lLjcoR7YOSnhnX0Po5
0k4d5YPDr1r7FX77VdqWez,https://api.spotify.com/v1/tracks/0k4d5YPDr1r7FX77VdqWez,You Right,5cj0lLjcoR7YOSnhnX0Po5
3DarAbFujv6eYNliUTyqtz,https://api.spotify.com/v1/tracks/3DarAbFujv6eYNliUTyqtz,Kiss Me More (feat. SZA),5cj0lLjcoR7YOSnhnX0Po5
60ynsPSSKe6O3sfwRnIBRf,https://api.spotify.com/v1/tracks/60ynsPSSKe6O3sfwRnIBRf,Streets,5cj0lLjcoR7YOSnhnX0Po5
0W6I02J9xcqK8MtSeosEXb,https://api.spotify.com/v1/tracks/0W6I02J9xcqK8MtSeosEXb,Get Into It (Yuh),5cj0lLjcoR7YOSnhnX0Po5
5lAnYvAIkSDNXqfo7DyFUm,https://api.spotify.com/v1/tracks/5lAnYvAIkSDNXqfo7DyFUm,Ain't Shit,5cj0lLjcoR7YOSnhnX0Po5
6xGruZOHLs39ZbVccQTuPZ,https://api.spotify.com/v1/tracks/6xGruZOHLs39ZbVccQTuPZ,Glimpse of Us,3MZsBdqDrRTJihTHQrO6Dq
0rKtyWc8bvkriBthvHKY8d,https://api.spotify.com/v1/tracks/0rKtyWc8bvkriBthvHKY8d,SLOW DANCING IN THE DARK,3MZsBdqDrRTJihTHQrO6Dq
1VGzxJnVQND7Cg5H5wGj14,https://api.spotify.com/v1/tracks/1VGzxJnVQND7Cg5H5wGj14,YEAH RIGHT,3MZsBdqDrRTJihTHQrO6Dq
0baNzeUcPQnQSagpe8T0mD,https://api.spotify.com/v1/tracks/0baNzeUcPQnQSagpe8T0mD,worldstar money (interlude),3MZsBdqDrRTJihTHQrO6Dq
5F1ZmucV0uJY14y2dYKePa,https://api.spotify.com/v1/tracks/5F1ZmucV0uJY14y2dYKePa,Sanctuary,3MZsBdqDrRTJihTHQrO6Dq
7wvwXi9Z66dcH5t202vVkN,https://api.spotify.com/v1/tracks/7wvwXi9Z66dcH5t202vVkN,Will He,3MZsBdqDrRTJihTHQrO6Dq
3xo4Q43ei0ypZOvd2W1IqZ,https://api.spotify.com/v1/tracks/3xo4Q43ei0ypZOvd2W1IqZ,Like You Do,3MZsBdqDrRTJihTHQrO6Dq
6Ed1q0X8oSKSm4IIhiQbYg,https://api.spotify.com/v1/tracks/6Ed1q0X8oSKSm4IIhiQbYg,Daylight,3MZsBdqDrRTJihTHQrO6Dq
6TodWdTSDfzwgYynTZSvJn,https://api.spotify.com/v1/tracks/6TodWdTSDfzwgYynTZSvJn,Midsummer Madness,1AhjOkOLkbHUfcHDSErXQs
0fX4oNGBWO3dSGUZcVdVV2,https://api.spotify.com/v1/tracks/0fX4oNGBWO3dSGUZcVdVV2,N95,2YZyLoL8N0Wb9xBt1NhZWg
2g6tReTlM2Akp41g0HaeXN,https://api.spotify.com/v1/tracks/2g6tReTlM2Akp41g0HaeXN,Die Hard,2YZyLoL8N0Wb9xBt1NhZWg
7KXjTSCq5nL1LoYtL7XAwS,https://api.spotify.com/v1/tracks/7KXjTSCq5nL1LoYtL7XAwS,HUMBLE.,2YZyLoL8N0Wb9xBt1NhZWg
3GCdLUSnKSMJhs4Tj6CV3s,https://api.spotify.com/v1/tracks/3GCdLUSnKSMJhs4Tj6CV3s,All The Stars (with SZA),2YZyLoL8N0Wb9xBt1NhZWg
6PGoSes0D9eUDeeAafB2As,https://api.spotify.com/v1/tracks/6PGoSes0D9eUDeeAafB2As,LOVE. FEAT. ZACARI.,2YZyLoL8N0Wb9xBt1NhZWg
1QPreu0BNOrUfEb8HTd2qG,https://api.spotify.com/v1/tracks/1QPreu0BNOrUfEb8HTd2qG,Rich Spirit,2YZyLoL8N0Wb9xBt1NhZWg
6IZvVAP7VPPnsGX6bvgkqg,https://api.spotify.com/v1/tracks/6IZvVAP7VPPnsGX6bvgkqg,PRIDE.,2YZyLoL8N0Wb9xBt1NhZWg
3lzUeaCbcCDB5IXYfqWRlF,https://api.spotify.com/v1/tracks/3lzUeaCbcCDB5IXYfqWRlF,Silent Hill,2YZyLoL8N0Wb9xBt1NhZWg
6HZILIRieu8S0iqY8kIKhj,https://api.spotify.com/v1/tracks/6HZILIRieu8S0iqY8kIKhj,DNA.,2YZyLoL8N0Wb9xBt1NhZWg
13tJ9Mkj7cjXxrTjOh0LAN,https://api.spotify.com/v1/tracks/13tJ9Mkj7cjXxrTjOh0LAN,關於小熊,3Xp3DA50zRP4TYOtNR7k1T
10EbcvamEVm3t32nUj8lX1,https://api.spotify.com/v1/tracks/10EbcvamEVm3t32nUj8lX1,收斂水,3Xp3DA50zRP4TYOtNR7k1T
2PkWIxSiFjTiCUZrtDWqoz,https://api.spotify.com/v1/tracks/2PkWIxSiFjTiCUZrtDWqoz,偷偷,3Xp3DA50zRP4TYOtNR7k1T
6i2oWpLh1Bt8F5BVaiyHmr,https://api.spotify.com/v1/tracks/6i2oWpLh1Bt8F5BVaiyHmr,史詩,3Xp3DA50zRP4TYOtNR7k1T
3dBd4ZCkpr1NPOaTXSZY3W,https://api.spotify.com/v1/tracks/3dBd4ZCkpr1NPOaTXSZY3W,過程,3Xp3DA50zRP4TYOtNR7k1T
7Mlo3IR7Vz6GDrC9733KRz,https://api.spotify.com/v1/tracks/7Mlo3IR7Vz6GDrC9733KRz,I Want You,3Xp3DA50zRP4TYOtNR7k1T
49gm0W9gCb9dSaFZQYJQsh,https://api.spotify.com/v1/tracks/49gm0W9gCb9dSaFZQYJQsh,Hit the Rhyme,3Xp3DA50zRP4TYOtNR7k1T
6GmRxBfE68sxJBRcMsKvtU,https://api.spotify.com/v1/tracks/6GmRxBfE68sxJBRcMsKvtU,噓,3Xp3DA50zRP4TYOtNR7k1T
300O5aB8IWTCGL2xIfx2xq,https://api.spotify.com/v1/tracks/300O5aB8IWTCGL2xIfx2xq,少年維持著煩惱,3Xp3DA50zRP4TYOtNR7k1T
4UG2Fm0E98LhE2dlNxiAXx,https://api.spotify.com/v1/tracks/4UG2Fm0E98LhE2dlNxiAXx,this is what falling in love feels like,164Uj4eKjl6zTBKfJLFKKK
6GD1eomgaGT1Epto6Q5eAo,https://api.spotify.com/v1/tracks/6GD1eomgaGT1Epto6Q5eAo,golden hour,164Uj4eKjl6zTBKfJLFKKK
33aLws184a7SVqraKuDqI3,https://api.spotify.com/v1/tracks/33aLws184a7SVqraKuDqI3,this is what heartbreak feels like,164Uj4eKjl6zTBKfJLFKKK
60DkG4mCA52rUUXz0F0wNi,https://api.spotify.com/v1/tracks/60DkG4mCA52rUUXz0F0wNi,this is what falling in love feels like - Leon Leiden Remix,164Uj4eKjl6zTBKfJLFKKK
5TpvLkESnw1g9wDz52efeO,https://api.spotify.com/v1/tracks/5TpvLkESnw1g9wDz52efeO,Upside Down,164Uj4eKjl6zTBKfJLFKKK
